"	amplitude_id","	user_id","	city","	country","	device","	device_type","	dma","	gt:acc_id","	ip_address","	language","	library","	os","	platform","	region","	gp:fbclid","	gp:gclid","	gp:initial_fbclid","	gp:initial_gclid","	gp:initial_referrer","	gp:initial_referring_domain","	gp:initial_utm_campaign","	gp:initial_utm_content","	gp:initial_utm_medium","	gp:initial_utm_source","	gp:initial_utm_term","	gp:referrer","	gp:referring_domain","	gp:user_accounts_created","	gp:user_cookie_campaign","	gp:user_cookie_content","	gp:user_cookie_fbclid","	gp:user_cookie_gclid","	gp:user_cookie_http_referrer","	gp:user_cookie_keyword","	gp:user_cookie_lp_full","	gp:user_cookie_lpcleaned","	gp:user_cookie_medium","	gp:user_cookie_source","	gp:user_invited","	gp:user_latest_nps","	gp:user_mrr","	gp:user_obsurvey_business_type","	gp:user_obsurvey_current_tool","	gp:user_obsurvey_main_activity","	gp:user_obsurvey_start_when","	gp:user_obsurvey_used_before","	gp:user_signup_howwemet","	gp:user_total_accounts","	gp:user_total_logins","	gp:user_users_invited","	gp:utm_campaign","	gp:utm_content","	gp:utm_medium","	gp:utm_source","	gp:utm_term"
"	257691361283","	609269884df1dd2dc73ecd07","	Lardero","	Spain","	Android","	Android","	","	","	47.60.51.62","	Spanish","	amplitude-js/8.1.0","	Chrome 88","	Web","	La Rioja","	","	","	","	","	","	","	","	","	","	","	","	","	","	1","	generic_9761431352","	99228401269_481312891887","	","	EAIaIQobChMImKjjnZ-y8AIVlT2tBh20MgniEAAYASAAEgIINvD_BwE","	","	programa facturación","	https://www.holded.com/es/programa-facturacion?h1=El+mejor+programa+de+facturaci%C3%B3n+online+del+mercado&utm_source=google&utm_medium=cpc&utm_campaign=generic_9761431352&utm_content=99228401269_481312891887&utm_term=programa%20facturaci%C3%B3n&hld_device=m&hld_network=g&hld_matchtype=p&hsa_acc=7276020979&hsa_ad=481312891887&hsa_mt=p&hsa_kw=programa%20facturaci%C3%B3n&hsa_ver=3&hsa_src=g&hsa_cam=9761431352&hsa_grp=99228401269&hsa_net=adwords&hsa_tgt=kwd-126407141&gclid=EAIaIQobChMImKjjnZ-y8AIVlT2tBh20MgniEAAYASAAEgIINvD_BwE","	https://www.holded.com/es/programa-facturacion","	cpc","	google","	false","	","	0.0","	services","	nothing","	invoicing","	browsing","	never","	Search engine","	1","	11","	","	","	","	","	","	"
"	289862729735","	611f885fd3e2e728c24dfe39","	El Ejido","	Spain","	","	","	","	[""611f889caaa322037771e12d""]","	81.41.164.40","	Spanish","	batch/1.0","	","	none","	Almeria","	","	Cj0KCQjwpf2IBhDkARIsAGVo0D3Pv5WDBCZNVQdyPjqD4lyBX42scOXxJOT-4Frwjlz6XtbGmSctOZwaAmMtEALw_wcB","	","	Cj0KCQjwpf2IBhDkARIsAGVo0D3Pv5WDBCZNVQdyPjqD4lyBX42scOXxJOT-4Frwjlz6XtbGmSctOZwaAmMtEALw_wcB","	https://www.google.com/","	www.google.com","	welcome_1","	101025212877_502354238075","	email","	mailgun","	debitoor","	https://app.holded.com/doc/invoice/new","	app.holded.com","	1","	competitor_10041700293","	101025212877_502354238075","	","	Cj0KCQjwpf2IBhDkARIsAGVo0D3Pv5WDBCZNVQdyPjqD4lyBX42scOXxJOT-4Frwjlz6XtbGmSctOZwaAmMtEALw_wcB","	https://www.google.com/","	debitoor","	https://go.holded.com/es/comparacion/debitoor/?utm_source=google&utm_medium=cpc&utm_campaign=competitor_10041700293&utm_content=101025212877_502354238075&utm_term=debitoor&hld_device=c&hld_network=g&hld_matchtype=e&hsa_acc=7276020979&hsa_ad=502354238075&hsa_mt=e&hsa_kw=debitoor&hsa_ver=3&hsa_src=g&hsa_cam=10041700293&hsa_grp=101025212877&hsa_net=adwords&hsa_tgt=kwd-41370097715&gclid=Cj0KCQjwpf2IBhDkARIsAGVo0D3Pv5WDBCZNVQdyPjqD4lyBX42scOXxJOT-4Frwjlz6XtbGmSctOZwaAmMtEALw_wcB","	https://go.holded.com/es/comparacion/debitoor/","	cpc","	google","	false","	","	0","	both","	nothing","	invoicing","	now","	fewtimes","	Referral","	0","	1","	","	welcome_1","	101025212877_502354238075","	email","	mailgun","	debitoor"
"	275068215305","	60ddbb39e34dca29dc555cbb","	Torrevieja","	Spain","	Apple iPhone","	Apple iPhone","	","	","	95.22.33.23","	Spanish","	amplitude-js/8.1.0","	WebKit 605","	Web","	Alicante","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	false","	","	","	","	","	","	","	","	","	","	58","	","	","	","	","	","	"
"	211360333836","	5e7884af6a972864042c890c","	Cocentaina","	Spain","	Windows","	Windows","	","	","	154.46.46.42","	English","	amplitude-js/8.1.0","	Chrome 92","	Web","	Alicante","	","	","	","	","	https://www.google.com/","	www.google.com","	brand_384746734","	1146791333486425_71674554769993","	cpc","	bing","	holded","	https://www.google.com/","	www.google.com","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	49","	","	brand_384746734","	1146791333486425_71674554769993","	cpc","	bing","	holded"
"	217872728080","	5fdcd6815544f408e74875b2","	Madrid","	Spain","	Windows","	Windows","	","	","	81.45.94.54","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Madrid","	","	EAIaIQobChMIsZLugfrf8gIVhCc4Ch1RmAZ1EAAYASAAEgLjPvD_BwE","	","	EAIaIQobChMIsZLugfrf8gIVhCc4Ch1RmAZ1EAAYASAAEgLjPvD_BwE","	https://www.google.com/","	www.google.com","	brand_10388931271","	104378540118_528482043805","	cpc","	google","	holded","	https://www.google.com/","	www.google.com","	","	","	","	","	","	","	","	","	","	","	","	","	","	124.0","	","	","	","	","	","	","	1","	113","	1","	brand_10388931271","	104378540118_528482043805","	cpc","	google","	holded"
"	251266760721","	6076953865a6dd243b6e357f","	Madrid","	Spain","	","	","	","	","	83.57.37.121","	Spanish","	http/2.0","	","	web","	Madrid","	","	","	","	","	https://www.google.com/","	www.google.com","	","	","	","	","	","	https://www.google.com/","	www.google.com","	","	","	","	","	","	","	","	","	","	","	","	false","	10","	29","	","	","	","	","	","	","	1","	11","	","	","	","	","	","	"
"	288303431700","	611948237d2c3377ce75eea5","	","	Spain","	Android","	Android","	","	[""61194a9752900c7a5f2a8b74""]","	185.237.102.154","	Spanish","	amplitude-js/8.1.0","	Samsung Browser 12","	Web","	","	","	CjwKCAjw9uKIBhA8EiwAYPUS3JQET0C70q7cyitCzGQGdYtoxWaH-H_5e6-yvLEr6r5LYaaGylpXshoCUMYQAvD_BwE","	","	CjwKCAjw9uKIBhA8EiwAYPUS3JQET0C70q7cyitCzGQGdYtoxWaH-H_5e6-yvLEr6r5LYaaGylpXshoCUMYQAvD_BwE","	","	","	youtube_sitelink_13526002054","	124225862585_497361087736","	cpc","	google","	","	","	","	3","	","	","	","	","	","	","	","	","	","	","	false","	","	0","	services","	spreadsheet","	invoicing","	innextmonth","	never","	YouTube","	2","	1","	","	welcome_1","	124225862585_497361087736","	email","	mailgun","	"
"	289850023960","	611f79b4fdccdf15fd5a34c7","	Valencia","	Spain","	","	","	","	[""611f79d0a1c61827cd22866f""]","	83.55.102.190","	Spanish","	http/2.0","	","	web","	Valencia","	","	CjwKCAjw1JeJBhB9EiwAV612y6ewSOjUbAIqeEdzpuHDSvM3eLCOcgG4hFJaRH0KOPoc5FriSXFtyBoCOS4QAvD_BwE","	","	EAIaIQobChMIgIqk-qe_8gIVj8WGCh1xpgbgEAAYASABEgJu6_D_BwE","	https://www.google.com/","	www.google.com","	generic_sitelink_9761431352","	100307281326_436243960686","	cpc","	google","	plantilla factura excel","	https://www.google.com/","	www.google.com","	1","	generic_sitelink_9761431352","	100307281326_436243960686","	","	EAIaIQobChMIgIqk-qe_8gIVj8WGCh1xpgbgEAAYASABEgJu6_D_BwE","	https://www.google.com/","	plantilla factura excel","	https://www.holded.com/es/programa-facturacion?utm_source=google&utm_medium=cpc&utm_campaign=generic_sitelink_9761431352&utm_content=100307281326_436243960686&utm_term=plantilla%20factura%20excel&hld_device=c&hld_network=g&hld_matchtype=e&hsa_acc=7276020979&hsa_ad=436243960686&hsa_mt=e&hsa_kw=plantilla%20factura%20excel&hsa_ver=3&hsa_src=g&hsa_cam=9761431352&hsa_grp=100307281326&hsa_net=adwords&hsa_tgt=kwd-28289688116&gclid=EAIaIQobChMIgIqk-qe_8gIVj8WGCh1xpgbgEAAYASABEgJu6_D_BwE","	https://www.holded.com/es/programa-facturacion","	cpc","	google","	false","	","	0","	services","	spreadsheet","	invoicing","	now","	never","	Search engine","	1","	1","	","	dsa_sitelink_1330918973","	61706694686_525564181882","	cpc","	google","	plantilla factura excel"
"	276132708380","	60e2b6eab25fae02b2346216","	Madrid","	Spain","	Chromium OS","	Chromium OS","	","	","	64.226.184.71","	Spanish","	amplitude-js/8.1.0","	Chrome 91","	Web","	Madrid","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	null","	","	https://app.holded.com/tp/5f5fa22672b7737d7244a3fenob3no","	https://app.holded.com/tp/5f5fa22672b7737d7244a3fenob3no","	referal","	","	true","	","	","	","	","	","	","	","	","	","	4","	","	","	","	","	","	"
"	141895254051","	5e01c8e46a972872c678774d","	Málaga","	Spain","	Windows","	Windows","	","	","	83.49.214.45","	Spanish","	amplitude-js/8.1.0","	Firefox 90","	Web","	Malaga","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	60","	","	","	","	","	","	","	1","	54","	","	","	","	","	","	"
